left_product,left_manufacturer,left_price,left_description,right_product,right_manufacturer,right_price,right_description,match
Obaphone Zapp Barrinha Com Whatsapp Obabox - Ob025,Obabox,258.48,Obaphone Zapp Barrinha Com Whatsapp Obabox - Ob025,Celular do Idoso fácil de usar letras grandes 32GB SOS OB023,Obabox,599.99,O Celular do Idoso fácil de usar com letras grandes 32GB SOS foi pensado para dar à terceira idade a oportunidade de se conectar aos amigos e familiares.,0
Cabo USB-C Para USB-C Trust De 1m Ndura,Trust,25.98,Cabo Usb-c Para Usb-c De 1m Ndura Trust,Cabo Usb 4 Em 1 Extra Forte Keyla Trust,Trust,51.88,"Carregamento e sincronização 4 em 1Cabo USB 4 em 1: USB C / Micro USB é o acessório perfeito para o escritório ou em casa. Ele permite que você simplesmente conecte qualquer dispositivo com um USB-C ou micro-USB (como seu telefone, E-reader ou câmera) ao seu computador, laptop ou outro dispositivo com uma porta USB ou USB-C. Assim, você pode começar a carregar ou transferir dados imediatamente.Conexão rápidaConte com cobranças e transferências de dados rápidas com cabo USB Keyla. Você terá seus dispositivos com energia totalrapidamente*. Ou transfira rapidamente dados como documentos, vídeos e fotos.*",0
Espelho Popsockets Midsummer Suporte Celular Clip,POPSOCKETS,209.9,"POPSOCKETS MIRROR O Original / Oficial da Popsockets USA® Um Popsockets com espelho embutido compacto que mantém seu espelho à mão sempre que você precisar de um pequeno retoque. Ou se você quiser dar uma olhada atrás de você ... Este Popsockets tem uma parte superior substituível - basta fechar/baixar o punho, pressionar para baixo e girar 90 graus para trocar a parte superior. Então, você pode trocar por um novo PopTop ou utilizar o carregamento sem fio.Um Popsockets feito para refletir você Troque a parte superior facilmente para mudar seu estilo Mostre o seu rosto com este acessório moderno de telefone e moda com dupla função Para carregadores sem fio genéricos, remova facilmente a parte superior para carregar seu telefone sem fio Permite o uso com as mãos livres com PopMounts. Compatível com PopMount 2 O espelho superior giratório fornece reflexão padrão e fecha facilmente. O espelho de base oferece ampliação 2x para detalhes mais próximos A base é compatível com PopTops para que você possa mudar sua aparência sempre que quiser.",Popsockets Gen2 Mickey Classic Suporte Para Celular Clip,POPSOCKETS,149.9,"POPSOCKETS O Original / Oficial da Popsockets USA® Este Popsockets tem uma parte superior substituível (PopTop) - para alterá-la, basta pressionar para baixo e girar 90 graus. A partir daqui você pode trocá-lo por um novo PopTop ou carregar seu telefone sem fio. Novos designs Popsockets fáceis de trocar. Agora compatível com carregamento sem fio graças à fácil remoção PopTop. Permite que você use a função viva-voz em conjunto com PopMounts. Oferece uma pegada segura para que você possa digitar com uma mão, tirar melhores fotos e assistir a vídeos sem tocar no telefone.",0
Carregador Chargeplay Base Hyperx Carregador Wireless Qi Hx-cpbs-c,Hyperx,429.89,"O HyperX Chargeplay Base garante que seus equipamentos estejam sempre prontos carregando, sem fios, rapidamente até 2 dispositivos compatíveis. Nunca mais fique sem bateria durante suas batalhas diárias. Simplesmente coloque seu mouse, celular, headset ou outros dispositivos compatíveis com carregamento sem fio Qi para ter seu dispositivo carregado e pronto quando precisar. Indicadores de LED para cada lado do carregador indicam quando os dispositivos estão prontos. Características: - Marca: HyperX - Modelo: HX-CPBS-C",Carregador Hyperx Chargeplay Base Wireless Qi - Hx-cpbs-c,Hyperx,465.88,"Carregador HyperX ChargePlay Base Wireless QI - HX-CPBS-C Nunca mais saia de casa sem bateria carregada Usando a tecnologia Wireless QI, o Carregador HyperX ChargePlay Base Wireless QI - HX-CPBS-Cgarante que seus dispositivos estejam prontos com um carregamento rápido e seguro de até dois aparelhos com conexão Wireless. Simplesmente coloque seu telefone, mouse, headset ou outro dispositivo móvel habilitado para Qi no versátil carregador certificado Qi para um carregamento prático e sem fio. Indicadores LED individuais exibem o status de carregamento dos seus dispositivos.",1
Google Pixel 6 128Gb 8Gb Ram Sorta Seafoam,Google,,"O Google Pixel 6 é um smartphone Android de bom nível, ótimo para fotos, que pode satisfazer até o mais exigente dos usuários. Tem uma enorme tela Touchscreen de 6.4 polegadas com uma resolução de 2400x1080 pixel. Sobre as características deste Google Pixel 6 na verdade não falta nada. Começando pelo 5G que permite a transferência de dados e excelente navegação na internet, além de conectividade Wi-fi e GPS. Tem também leitor multimídia, videoconferência e bluetooth. Enfatizamos a boa memória interna de 256 GB mas sem a possibilidade de expansão. O Google Pixel 6 é um produto com poucos concorrentes em termos de multimídia graças à câmera de 50 megapixels que permite ao Google Pixel 6 tirar fotos fantásticas com uma resolução de 8165x6124 pixels e gravar vídeos em 4K a espantosa resolução de 3840x2160 pixels. Muito fino, 8.9 milímetros, o que torna o Google Pixel 6 realmente interessante.",Google Pixel 6 Sorta Seafoam 128GB Rom 8GB Ram Desbloqueado a pronta entrega no Brasil,Google,,"""O telefone Android 5G desbloqueado oferece a flexibilidade de mudar de operadora e escolher seu próprio plano de dados[1]; O Pixel 6 é rápido, inteligente e seguro e se adapta a você.Form_factor: Smartphone.Resolução máxima da tela: 1440 x 3120 pixelsO poderoso processador Google Tensor é o primeiro processador projetado pelo Google e feito para Pixel; ele mantém seu telefone rápido, seus jogos ricos e suas informações pessoais segurasA câmera traseira de 50 megapixels do Pixel captura 150% mais luz para fotos com cores mais ricas e mais detalhes[2]Ferramentas profissionais como Magic Eraser[3], Motion Mode e Portrait Mode mantêm suas fotos nítidas, precisas e focadasA bateria de carregamento rápido[4] do Pixel que dura o dia todo se adapta a você e economiza energia para os aplicativos que você mais usa[5]A privacidade e a proteção estão integradas ao seu smartphone Pixel; apoiado pelo chip de segurança Titan M2, 5 anos de atualizações e o núcleo de segurança[6]A experiência do novo Pixel está mais moderna e intuitiva, com cores que refletem seu estilo pessoal; o recurso At a Glance mostra os aplicativos e informações de que você precisa quando precisa, como um cartão de embarque antes de um voo[7]""  Ean: 0810029930468",1
"Carregador Rápido,Fonte 2 Usb 5.1a",Lelong,21.99,"Carregador Rápido Celular Tablet Fonte 2 USB 5.1A ANATEL Fonte Bivolt 2 USB 5.1A Lelong LE-243 Carregador de viagem com 2 portas USB de carregamento rápido, é ideal para levar para qualquer lugar, pois ele é bivolt automático, com isso você não precisa se preocupar se vai ligar ele em uma tomada de 110V ou 220V, pois ele se ajusta automaticamente.","Carregador De Tomada com Cabo USB-c E Usb Lelong,2 Portas - Le-291v",Lelong,29.99,"Carregador de tomada duplo entrada tipo-c e usb com saida micro usb lelong le-291vcarregue dispositivos compatíveis até 4 vezes mais rápido que o carregamento convencional.também funciona com o quick charge e carrega adaptativamente todos osdispositivos padrão usb (incluindo android e ios) em até 5.1a (máx).o circuito bem dimensionado garante uma carga segura para seus dispositivos eevita instabilidade durante o carregamento, sobretensão, sobrecargas e superaquecimento.informações técnicas:marca:lelongmodelo:le-291ventrada nominal: ac 110v - 240v 50/60hz 0.3asaída 1: 5v =5.1a máxsaída 2:5v =5.1a máxpotência máxima de trabalho: 12.5w (máx)entradas usb:tipo-ceusbconteúdo da embalagem:1 carregadordetomada le-291v",0
Mini Tripé De Mesa Suporte Flexível Para Celular Câmera 360° Preto,Exbom,17.9,Mini Tripé De Mesa Suporte Flexível Para Celular Câmera 360° Preto,Suporte Universal Veicular Automotivo Para Smartphone Navegador Gps - Saída De Ar,Exbom,20.6,"Com o suporte veicular universal, será, possí,vel checar seu celular durante o uso do GPS, sem a necessidade de desviar sua atenç,ã,o do trâ,nsito, garantindo uma viagem segura.Mantenha suas mã,os livres e utilize seu aparelho de maneira correta e segura enquanto estiver no volante.Caracterí,sticas:- Suporte de fá,cil fixaç,ã,o,- Compatí,vel com diversos modelos de celulares e GPS",0
Carregador Bright Duplo USB 2.0 Universal Turbo E USB-C 4.0a 36w,Bright,59.99,"Carregador Super rápido com 1 USB 2.0 e 1 USB-C PD Carregador de parede universal com 2 entradas. Carregar seu dispositivo ficou mais fácil com o Carregador Bright AC590, basta conectar seu carregador na tomada e em seu dispositivo e pronto, terá a bateria carregada de forma prática e rápida. A portas USB 2.0 é universais, podendo assim carregar qualquer tipo de dispositivo com entrada USB. A entrada USB-C PD é para uso próprio em aparelhos que o possuem. Design compacto e leve, ideal para viajar NÃO VICIA A BATERIA Evita vícios através de um circuito de distribuição inteligente. Este carregador universal USB, possui 2 saídas de carregamento simultâneo. Além disto o mesmo conta com um circuito inteligente permitindo que a amperagem total seja compartilhada, direcionando a cada dispositivo conectado a amperagem ideal (e máxima) para o carregamento mais rápido e seguro, evitando danos vícios ao seu aparelho.","Carregador Veicular Bright, 2 portas USB, 1A e 2.1A - 0428",Bright,34.26,"A linha de produtos Bright conta com qualidade e design para facilitar seu dia a dia. Carregue seu smartphone e outros dispositivos no seu veículo com maior praticidade e conveniência Maior dinamismo, maior praticidade. Garanta já o seu aqui no KaBuM!..",0
"Smartphone Caterpillar Catphone Cat S62 Pro, 128gb, 6gb Ram",CATERPILLAR,4603.1,"O S62 PRO da Caterpillar é forte e resistente como todos os da marca e oferece especificações incríveis, garantindo ótimo funcionamento. Vem com sistema operacional Android 10, 6GB de RAM e 128GB de armazenamento interno, o processador é octa-core e o processador gráfico é o Adreno 512. Tem câmera de 12MP na parte traseira e 8MP na frontal. Tudo com uma tela de 5.7 polegadas e resolução de 1080 x 2160 pixels.","Smartphone Caterpillar Catphone Cat B26, 2G, Dual",CATERPILLAR,500.48,"O robusto telefone Cat B26 é resistente a quedas, poeira e água e foi fabricado para suportar ambientes exigentes, como todos os telefones Cat foi testado em condições extremas. É submersível até 1,2 m por 35 minutos, à prova de queda de até 1,8 m em concreto, à prova de poeira e resistente a temperaturas extremas. Até 13 horas de conversa e 18 dias em espera com uma única carga, incorpora uma bateria grande para mantê-lo trabalhando por mais tempo.",0
"Smartwatch A1 Bluetooth, Câmera, Celular, Chip, Cartão, Música, Dourado com Preto",A1,99.9,Relogio SmartWatch A1 Bluetooth Camera Celular Chip Cartao Musica - Dourado com Preto,"Smartwatch A1 Bluetooth, Câmera, Celular, Chip, Cartão, Música, Dourado com Preto",A1,99.9,Relogio SmartWatch A1 Bluetooth Camera Celular Chip Cartao Musica - Dourado com Preto,1
"Carregador sem fio Booglee, Magnético por Indução, 20W, USB-C",Booglee,51.9,"Porta de saída: USB-C; Potência de carregamento até 20W; Compatível com: linha i Phone 12, 11, X, 8, 7, 6.   Atenção: o suporte de imã será fixado apenas na linha 12, pois são os modelos que tem imã interno. Os demais vão carregar, mas não ficará preso.","Ampliador de Tela Booglee para Celular,Até 7 Polegadas, Sem necessidade de bateria",Booglee,12.99,"Este produto utiliza tecnologia óptica de boa definição na tela do seu Smartphone, podendo ser ampliada em até 3 vezes. A imagem é clara e dinâmica, deixando a imagem e definição mais fortes.",0
"Cabo Enrolado Akko USB C, Para teclado",Akko,42.23,"Com 20 anos de atividades, a Pro Setup é uma loja com mix completo para atender as necessidades de nossos clientes, não se resumindo somente em informática, mas também contamos com produtos gamers, instrumentos musicais, moveis para escritório, rede de segurança e automação residencial, além dos principais produtos para sua empresa ou lazer. Não deixe de nos conhecer e ter a melhor experiência em compras online..","Cabo Enrolado Akko USB C, Para teclado",Akko,42.23,"Com 20 anos de atividades, a Pro Setup é uma loja com mix completo para atender as necessidades de nossos clientes, não se resumindo somente em informática, mas também contamos com produtos gamers, instrumentos musicais, moveis para escritório, rede de segurança e automação residencial, além dos principais produtos para sua empresa ou lazer. Não deixe de nos conhecer e ter a melhor experiência em compras online..",1
Carregador Multifuncional 4 Em 1 Usb + Dados Uc-04 - C3tech,C3TECH,9.9,Carregador Multifuncional 4 Em 1 Usb + Dados Uc-04 - C3tech,"Suporte Automotivo Para Celular, Tablet E Gps - Com Carregador - C3Tech Mh-61c",C3TECH,73.09,O MH-61C é um acessório indispensável para você transportar e carregar o seu Smartphone simultaneamente. Leve e prático o suporte veicular possui vários ajustes como: regular o tamanho do equipamento ao seu Smartphone e possui garras antiderrapantes que o mantém seguro.,0
Capa Iphone 13 Pro Anti Impacto X-one Shock Dominator,X-ONE,191.0,ITENS INCLUSOS NA VENDA:- 1 capa X-ONE Shock Dominator (DropGuard 3.0) Iphone 13 Pro na embalagem original,Kit Para Iphone 13 Pro Max Case Dropguard 3.0 Preta + Película 2d X-one,X-ONE,135.99,"extreme shock eliminator 2d (fullscreen series)proteja seu dispositivo com o extreme shock eliminator! nossa tecnologia de proteção de tela da série extreme reforçará a capacidade de resistência ao choque da sua tela em até 5 vezes! fácil aplicação e reutilizável. múltiplas camadas de proteção: anti- manchas resistência à impressão digital (nano revestimento oleofóbico)proteção contra arranhões de grau militar, dureza de 5h +anti-choqueanti-piercingresistência a arranhõescamada adesiva de silíciocobre 100% da telarecursos da case dropguardborda: mais de 70% das fissuras de tela de dispositivos móveis acontecem quando ela é solta nas bordas. É por isso que projetamos a tecnologia dna guard para proteger seu precioso dispositivo.proteja e revele: proteja o seu iphone de forma abrangente e mantenha a beleza original.impacto resistente: estrutura do compartimento de ar de assinatura projetada para absorver e dispersar o impacto.discreto: nosso protetor de borda oferece proteção contra queda de 3 metros e desgaste diário.material premium: material tpu premium importado da alemanha.",0
"Ring Light de Mesa com Tripé e Suporte para Celular Rpc, Portátil,16cm",RPC,191.05,"Ring Light Self Iluminador Portátil Com Tripe E Controle Bluetooth, suporta 3 modos de iluminação e 3 níveis de brilho ajustável adequados para streaming de maquiagem ao vivo, selfie, vlog, vídeo online etc. grande capacidade bateria que suporta cerca de 2,5 horas de tempo de uso e pode ser recarregada pela interface USB convenientemente perfeita para uso ao ar livre ou em viagem. O suporte de liga de alumínio com altura máxima de 90 cm adota o design integrado do bastão de selfie do tripé que permite que você use a luz do anel no desktop de forma estável ou segure na sua mão para uso flexível. O suporte de telefone rotativo para smartphone com largura ajustável de 6cm-10cm é compatível com iPhone, Samsung, Huawei e outros smartphones do mercado, suportam disparos verticais e horizontais. Vem com um obturador remoto sem fio para smartphone que é compatível com os sistemas operacionais dispoiveis no mercado ou superior e você pode usá-lo para controlar seu smartphone para tirar fotos em uma determinada distância (10 metros de alcance efetivo).","Tripé Bastão Selfie Retrátil Para Celular com Controle Remoto, Preto - Xt-02",RPC,102.88,"Vara pau de self, Tripé 3 em 1 Sem Fio com coontrole Bluetooth para iPhone e Android.   Um bom assistente para tirar fotos self quando você está sozinho ou tomar distancia para grandes fotos com todos os membros da família.   Pode capturar fotos ou vídeo acima das multidões ou em locais de difícil acesso.   Não há necessidade de usar o timer da câmera do telefone para tirar fotos, basta pressionar o botão no controle  ",0
Smartphone Nokia C01 32GB NK040 + Balança com Bioimpedância Multilaser,KIT,,"Kit Smartphone Nokia C01 32GB NK040 + Balança com Bioimpedância Multilaser    Smartphone Nokia C01 Plus 32GB 4G Tela 5,45?HD+ Câm.Self.Dupla - Azul    Um smartphone elegante, dual chip e com duas câmeras frontais para você fazer as melhores selfies. O Nokia C01 Plus é dual chip para você ficar ainda mais conectado!  Um smartphone que faz cada momento valer a pena.    O Nokia C01 Plus foi feito exclusivamente para você curtir cada momento com um celular elegante e muito fácil de usar, veja só:    - É um celular dual chip: você pode utilizar até 2 chips de operadoras de telefonia celular, sem precisar se preocupar em perder seus dados;  - Possui dupla câmera frontal de 5MP: faça as selfies mais bonitas com a câmera dupla frontal;  - Desbloqueio facial: um jeito mais prático e seguro de proteger e desbloquear seu smartphone;  - Processador octa core: um melhor desempenho para um uso mais prazeroso do seu celular;  - Mais memória para guardar suas fotos: o Nokia C01 Plus tem suporte para cartões de memória de até 128GB    Ficha Técnica    Conexões: 4G, Wi-fi, Bluetooth  Sistema Operacional: Android 11  Memória RAM: 1GB  Memória Interna: 32GB  Tipo de Cabo: Micro USB  Dual Chip: Sim  Câmera Frontal: 5MP  Câmera Traseira: 5MP  Conteúdo da Embalagem: 1 Smartphone, fone de ouvido, carregador, manual de instruções e case protetora.  Peso do produto: 330.00g  Bateria: 3.000 mAh  Tela Capacitiva: 5.45 HD  Slot De Memória Suporte a cartão de memória até 128GB  Marca: Nokia  Cor Principal: Azul    Balança com Bioimpedância - Com Handle - BioHealth Pro - Multilaser Saúde - HC060    A Balança Digital com bioimpedância BioHealth PRO da linha Multilaser Saúde é ideal para quem quer conhecer a composição do seu corpo.    Através dos oito sensores de bioimpedância é possível consultar 13 índices diferentes e identificar em qual região do corpo se concentram sua gordura corporal e massa muscular. A partir deles fica mais simples identificar excessos ou carências em seu corpo.    Conexão Bluetooth via Smartphone;   Desligamento automático;   Pesagem máxima: 180 kg;   Funcionamento: 4 pilhas AAA;   1 Ano de garantia.     Imagens meramente ilustrativas.",Smartphone Multi H 5G 256GB 8GB RAM Android 12 Câmera Tripla 50MP e Fone TWS Multi - P9180K,KIT,,"Smartphone Multi H 5G 256GB Full HD+ 8GB RAM Câmera Tripla 50MP Android 12 Preto - P9180 + Fone Ouvido TWS Airbud Multi PH326Conectividade 5GCom o Multi H 5G, mais do que nunca, você terá acesso a uma Internet mais rápida e mais estável. Baixe arquivos pesados, assista a vídeos em alta definição e jogue seus jogos favoritos sem interrupções.Não perca mais tempo esperando os sites carregarem ou assistindo a vídeos com interrupções constantes.  Multi H 5G, conexão perfeita para a sua Hora H!Memória interna de 256GBVocê já cansou de ter que excluir arquivos e aplicativos para liberar espaço do seu smartphone na sua Hora H? Com o espaço de armazenamento de 256GB² do Multi H 5G, você não precisará mais se preocupar em escolher o que manter ou excluir do seu aparelho. Armazene fotos, vídeos, músicas e aplicativos sem se preocupar com falta de espaço. A memória interna também garante que o desempenho do seu smartphone seja otimizado na sua Hora H. Sem a necessidade de mover dados para a memória externa, você terá uma experiência mais suave e sem atrasos.Com o Multi H 5G você terá uma experiência incrível na sua Hora H!Tela de 6,5 FHD+ com 90Hz de taxa de atualizaçãoCom cores mais vibrantes, a tela FHD+ do Multi H 5G oferece imagens nítidas e detalhadas, deixando as suas fotos e vídeos ainda mais bonitos.Nessa oferta além do fone com fio que já acompanha o Multi H, você leva o Fone de Ouvido TWS Airbud Multi Branco PH326 para aproveitar todo o potencial do Multi H!Desfrute de melhor qualidade de som estéreo para ouvir suas músicas favoritas como se estivesse em um show e faça ligações sem se preocupar com ruídos externos. Possui pareamento rápido  com dispositivos Android e iOS. basta ativar o bluetooth do seu dispositivo e você estará pronto para fazer ligações e ouvir músicas.*Imagens meramente Ilustrativas.",0
